,Team,Time,game_id
0,bKills,3.111,b96f782c-da04-4641-9306-68968036bfd9
0,bKills,6.371,2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a
1,bKills,8.109,2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a
2,bKills,9.413,2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a
0,bKills,8.835,e04ed84d-929b-4f0e-a769-e7bffc2b5162
1,rKills,5.145,e04ed84d-929b-4f0e-a769-e7bffc2b5162
0,rKills,1.956,db2cf98d-a55e-4e28-9702-d7363fad2ebb
1,rKills,10.077,db2cf98d-a55e-4e28-9702-d7363fad2ebb
0,rKills,7.572,3d7003be-4b9e-4a78-9b74-ef11e8648163
0,bKills,9.709,22758935-9da6-4ca3-a6ee-1dc586cc638b
1,bKills,9.798,22758935-9da6-4ca3-a6ee-1dc586cc638b
2,rKills,9.704,22758935-9da6-4ca3-a6ee-1dc586cc638b
0,bKills,5.974,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
1,rKills,4.874,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
2,rKills,8.064,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
3,rKills,8.234,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
4,rKills,8.293,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
5,rKills,10.623,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
6,rKills,10.878,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
0,bKills,8.821,a1008397-ede5-4655-b6fe-46c16f2fff92
1,bKills,8.866,a1008397-ede5-4655-b6fe-46c16f2fff92
2,rKills,10.591,a1008397-ede5-4655-b6fe-46c16f2fff92
0,bKills,3.01,8c5de84b-e678-4625-9911-ff3d276c4a0c
1,bKills,9.488,8c5de84b-e678-4625-9911-ff3d276c4a0c
2,rKills,8.642999999999999,8c5de84b-e678-4625-9911-ff3d276c4a0c
3,rKills,8.771,8c5de84b-e678-4625-9911-ff3d276c4a0c
4,rKills,8.997,8c5de84b-e678-4625-9911-ff3d276c4a0c
0,bKills,4.302,e6728b90-0534-41fe-94b7-0106437c1f42
1,bKills,7.975,e6728b90-0534-41fe-94b7-0106437c1f42
0,bKills,4.192,d7aeea0e-6206-418a-ad84-743a6fe94db1
1,bKills,5.1610000000000005,d7aeea0e-6206-418a-ad84-743a6fe94db1
2,bKills,8.054,d7aeea0e-6206-418a-ad84-743a6fe94db1
3,bKills,8.583,d7aeea0e-6206-418a-ad84-743a6fe94db1
4,bKills,9.181,d7aeea0e-6206-418a-ad84-743a6fe94db1
5,bKills,9.303,d7aeea0e-6206-418a-ad84-743a6fe94db1
0,bKills,7.627000000000002,96ae285e-f460-4513-bd85-1714842aee29
1,bKills,8.637,96ae285e-f460-4513-bd85-1714842aee29
2,rKills,4.752,96ae285e-f460-4513-bd85-1714842aee29
3,rKills,5.408,96ae285e-f460-4513-bd85-1714842aee29
4,rKills,6.527,96ae285e-f460-4513-bd85-1714842aee29
5,rKills,8.654,96ae285e-f460-4513-bd85-1714842aee29
0,bKills,5.05,76153505-abc9-4340-8c3d-b6d65b856456
1,bKills,7.785,76153505-abc9-4340-8c3d-b6d65b856456
2,rKills,5.01,76153505-abc9-4340-8c3d-b6d65b856456
3,rKills,10.745,76153505-abc9-4340-8c3d-b6d65b856456
0,bKills,7.712999999999999,c2802a95-a3a4-405e-8a08-ef264c8da885
1,bKills,10.16,c2802a95-a3a4-405e-8a08-ef264c8da885
0,bKills,1.895,4bde8865-c00e-48e9-8907-3f090355553a
0,bKills,6.559,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184
1,bKills,7.897,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184
2,rKills,6.555,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184
3,rKills,9.15,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184
4,rKills,9.571,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184
0,bKills,7.532,e768a289-0876-4527-8afc-8b87393e7163
0,bKills,8.654,176e6ac0-9632-42de-8891-2269b7831698
